Index       TIME             V(IN_1)           V(IN_2)           V(IN_3)          V(OUT_1)          V(OUT_2)          V(OUT_3)          I(VROW_1)         I(VROW_2)         I(VROW_3)        I(RLOAD_1)        I(RLOAD_2)        I(RLOAD_3)    
43       1.32960000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00   -3.65926689e-33    3.08148791e-33    3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
44       1.65728000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.65926689e-33   -3.08148791e-33   -3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
45       2.31264000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00   -3.65926689e-33    3.08148791e-33    3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
46       3.62336000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.65926689e-33   -3.08148791e-33   -3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
47       6.24480000e-06    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00   -3.65926689e-33    3.08148791e-33    3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
48       1.14876800e-05    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.65926689e-33   -3.08148791e-33   -3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
49       2.14876800e-05    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00   -3.65926689e-33    3.08148791e-33    3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
50       3.14876800e-05    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.65926689e-33   -3.08148791e-33   -3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
51       4.14876800e-05    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00   -3.65926689e-33    3.08148791e-33    3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
52       5.14876800e-05    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.65926689e-33   -3.08148791e-33   -3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
53       6.14876800e-05    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00   -3.65926689e-33    3.08148791e-33    3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
54       7.14876800e-05    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.65926689e-33   -3.08148791e-33   -3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
55       8.14876800e-05    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00   -3.65926689e-33    3.08148791e-33    3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
56       9.14876800e-05    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    3.65926689e-33   -3.08148791e-33   -3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
57       1.00000000e-04    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00   -3.65926689e-33    3.08148791e-33    3.85185989e-34    0.00000000e+00    0.00000000e+00    0.00000000e+00
End of Xyce(TM) Simulation
